CountryKey,Country,ISO3,Region,IsLatAm,IsPeru,Economy,Governance,Infrastructure,Innovation,Talent,PillarCoverage,Score_Quality,AI_Readiness_Score_AllAvailable,AI_Readiness_Score_Comparable,Global_Rank_Comparable
169,Romania,ROU,Other Regions,False,False,1.0,44.33032794056571,44.55626789793756,1.3146821844225602,31.563573883161506,5,Full coverage,24.55297038121747,24.55297038121747,88.0
170,Russia,RUS,Other Regions,False,False,5.0,63.98701749861572,57.371886796556645,4.568934646374217,33.292096219931274,5,Full coverage,32.84398703229557,32.84398703229557,51.0
171,Rwanda,RWA,Other Regions,False,False,2.0,42.14407609092165,41.332943896088906,0.010743061772605193,61.83505154639174,5,Full coverage,29.46456291903498,29.46456291903498,60.0
172,Samoa,WSM,Other Regions,False,False,,34.60543082737398,41.00171397706103,,,2,Low coverage,37.803572402217505,,
173,San Marino,SMR,Other Regions,False,False,,21.683373128206686,15.788888766237738,0.0,,3,Low coverage,12.490753964814807,,
174,Saudi Arabia,SAU,Other Regions,False,False,21.0,63.22676730954478,60.95468100296461,3.254700089525515,60.783505154639165,5,Full coverage,41.843930711334814,41.843930711334814,15.0
175,Senegal,SEN,Other Regions,False,False,,29.14446689855474,48.346856869912294,0.05729632945389436,,3,Low coverage,25.849540032640306,,
176,Serbia,SRB,Other Regions,False,False,1.0,38.02103471494766,57.562208875849464,1.4082363473589972,38.7594501718213,5,Full coverage,27.350186021995484,27.350186021995484,73.0
177,Seychelles,SYC,Other Regions,False,False,,34.541897473822935,30.356215734724767,0.0035810205908683975,,3,Low coverage,21.633898076379523,,
178,Sierra Leone,SLE,Other Regions,False,False,,15.236298323623053,46.67260007195672,0.0035810205908683975,46.90721649484537,4,Comparable partial,27.204923977754007,27.204923977754007,74.0
179,Singapore,SGP,Other Regions,False,False,27.0,62.35662357544037,72.33118992605971,14.625335720680393,17.560137457044675,5,Full coverage,38.774657335845035,38.774657335845035,24.0
180,Slovakia,SVK,Other Regions,False,False,4.0,35.87971461541946,48.14660448861897,1.3115487914055506,43.22680412371134,5,Full coverage,26.512934403831064,26.512934403831064,78.0
181,Slovenia,SVN,Other Regions,False,False,5.0,58.32258525281517,52.48252778146345,2.764995523724261,22.04123711340206,5,Full coverage,28.12226913428099,28.12226913428099,71.0
182,Solomon Islands,SLB,Other Regions,False,False,,25.341274618398018,1.3963085038969054,,,2,Low coverage,13.36879156114746,,
183,Somalia,SOM,Other Regions,False,False,,3.133406040620079,11.334194843325724,0.010743061772605193,,3,Low coverage,4.826114648572802,,
